"Task Title","Customer","Project","Billable","Start Time","End Time","Duration (seconds)"
"Design homepage","Base44","Website Revamp","Y","2023-01-01T10:00:00.000Z","2023-01-01T11:30:00.000Z","5400"
"Client meeting","Freenix","App Onboarding","N","2023-01-02T14:00:00.000Z","2023-01-02T15:00:00.000Z","3600"
"Write documentation","InnovaCo","Internal Tools","Y","2023-01-03T09:15:00.000Z","2023-01-03T11:00:00.000Z","6300"
"Bug fixes","Base44","Website Revamp","Y","2023-01-04T13:45:00.000Z","2023-01-04T14:30:00.000Z","2700"
"UI Review","Sparkflow","Marketing Site","N","2023-01-05T11:00:00.000Z","2023-01-05T12:15:00.000Z","4500"
"Setup analytics","QuantumLeap","Dashboard Redesign","Y","2023-01-06T10:30:00.000Z","2023-01-06T11:45:00.000Z","4500"
"Refactor CSS","Base44","Website Revamp","Y","2023-01-07T09:00:00.000Z","2023-01-07T10:10:00.000Z","4200"
"Email campaign planning","Freelance.ai","Outreach","N","2023-01-08T16:00:00.000Z","2023-01-08T17:20:00.000Z","4800"
"Deploy staging","InnovaCo","Internal Tools","Y","2023-01-09T13:30:00.000Z","2023-01-09T14:00:00.000Z","1800"
"Fix form validation","Sparkflow","Marketing Site","Y","2023-01-10T08:45:00.000Z","2023-01-10T09:30:00.000Z","2700"
